#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
421-14	36260-36268	vladarka	N	NOUN	_	_	vladarka	_	_	_	LLM-0369	1	LLM-0369	*	simple_wsd - LLM-0369:0.4422::Žena koja vlada ili upravlja državom; u datoj rečenici specifično kraljica koja vlada po sopstvenom pravu (kraljica vla…	
421-15	36269-36276	Belgije	N	PROPN	_	_	Belgija	_	_	_	_	_	_	_	_	
421-16	36276-36277	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Granica između Azije i Okeanije nije jasno definisana.
422-1	36277-36284	Granica	N	NOUN	_	_	granica	_	_	_	ENG30-05124057-n	6	ENG30-05124057-n;ENG30-08501114-n;ENG30-08512259-n;ENG30-08593130-n;ENG30-13903387-n;ENG30-15268857-n	*	simple_wsd - ENG30-05124057-n:0.8551::Najveće moguće rasprostiranje ili stepen nečega. - ENG30-15268857-n:0.8108::krajnja ili poslednja granična tačka - ENG30-13903387-n:0.7051::granica ili područje neposredno unutar granice	
422-2	36285-36291	između	PREP	ADP	_	_	između	_	_	_	_	_	_	_	_	
422-3	36292-36297	Azije	N	PROPN	http://www.wikidata.org/entity/Q48	LOC	Azija	_	_	_	_	_	_	_	_	
422-4	36298-36299	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
422-5	36300-36308	Okeanije	N	PROPN	http://www.wikidata.org/entity/Q55643	LOC	Okeanija	_	_	_	_	_	_	_	_	
422-6	36309-36313	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
422-7	36314-36319	jasno	ADV	ADV	_	_	jasno	_	_	_	ENG30-00285687-b	1	ENG30-00285687-b	*	simple_wsd - ENG30-00285687-b:0.1531::na lako uočljiv način	
422-8	36320-36330	definisana	V	VERB	_	_	definisati	_	_	_	ENG30-02611630-v	3	CV0047;ENG30-00957378-v;ENG30-02611630-v	*	simple_wsd - ENG30-02611630-v:0.4389::odrediti bitnu osobinu - ENG30-00957378-v:0.4186::proizvesti definiciju za značenje koje reči - CV0047:0.3766::dati, davati definiciju nekog pojma	
422-9	36330-36331	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Masakr u Kolumbajnu odnosi se na pucnjavu koja se 20. aprila 1999. dogodila u Gimnaziji Kolumbajn u Kolumbajnu, u Koloradu, SAD.
423-1	36331-36337	Masakr	N	NOUN	http://www.wikidata.org/entity/Q473845[135]	EVENT[135]	masakr	_	_	_	ENG30-00221178-n	2	ENG30-00221178-n;ENG30-00223983-n	*	simple_wsd - ENG30-00221178-n:0.8591::prolivanje krvi koje za posledicu ima ubistvo - ENG30-00223983-n:0.8349::divljačko i prekomerno ubijanje mnogih ljudi	
423-2	36338-36339	u	PREP	ADP	http://www.wikidata.org/entity/Q473845[135]	EVENT[135]	u	_	_	_	_	_	_	_	_	
423-3	36340-36350	Kolumbajnu	N	PROPN	http://www.wikidata.org/entity/Q473845[135]	EVENT[135]	Kolumbajn	_	_	_	_	_	_	_	_	
423-4	36351-36357	odnosi	V	VERB	_	_	odnositi	1	odnositi se	IRV	CVMWE-0253[2283]	4[2283]	CVMWE-0253;ENG30-00931467-v;ENG30-02653706-v;ENG30-02676054-v[2283]	*[685]	simple_wsd - CVMWE-0253:0.4662::biti u vezi s kim, čim, ticati se nečega - ENG30-02653706-v:0.3281::Biti deo nečega ili biti svojstvo nečega. - ENG30-00931467-v:0.1612::Imati kao značenje.[2283]	
423-5	36358-36360	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0253[2283]	4[2283]	CVMWE-0253;ENG30-00931467-v;ENG30-02653706-v;ENG30-02676054-v[2283]	*[685]	simple_wsd - CVMWE-0253:0.4662::biti u vezi s kim, čim, ticati se nečega - ENG30-02653706-v:0.3281::Biti deo nečega ili biti svojstvo nečega. - ENG30-00931467-v:0.1612::Imati kao značenje.[2283]	
423-6	36361-36363	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
423-7	36364-36372	pucnjavu	N	NOUN	_	_	pucnjava	_	_	_	ENG30-00986938-n	1	ENG30-00986938-n	*	simple_wsd - ENG30-00986938-n:0.8033::Čin otvaranje vatre na neprijatelja.	
423-8	36373-36377	koja	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
423-9	36378-36380	se	PAR	PART	_	_	se	2	*	IRV	CVMWE-0067[2284]	4[2284]	CVMWE-0067;ENG30-00339934-v;ENG30-02593912-v;ENG30-02594102-v[2284]	*[686]	simple_wsd - CVMWE-0067:0.9608::zbiti se, obično iznenada - ENG30-00339934-v:0.9210::Zbiti se. - ENG30-02593912-v:0.8153::slučajno šta biti ili uraditi, bez namere ili uzroka[2284]	
423-10	36381-36384	20.	A	ADJ	_	_	20.	_	_	_	http://llod.jerteh.rs/WSD/seCVMWE0067[686]	4[686]	CVMWE-0067\;ENG30-00339934-v\;ENG30-02593912-v\;ENG30-02594102-v[686]	*[686]	U ovom kontekstu, 'dogoditi se' znači da se nešto zbilo, obično iznenada, što precizno opisuje masakr koji se iznenada desio u školi.[686]	
423-11	36385-36391	aprila	N	NOUN	_	_	april	_	_	_	ENG30-15211189-n	1	ENG30-15211189-n	*[686]|*[687]	simple_wsd - ENG30-15211189-n:0.1654::Četvrti mesec u godini, posle marta, a pre maja.	
423-12	36392-36397	1999.	A	ADJ	_	_	1999.	_	_	_	http://llod.jerteh.rs/WSD/seCVMWE0067[686]	4[686]	CVMWE-0067\;ENG30-00339934-v\;ENG30-02593912-v\;ENG30-02594102-v[686]	*[686]	U ovom kontekstu, 'dogoditi se' znači da se nešto zbilo, obično iznenada, što precizno opisuje masakr koji se iznenada desio u školi.[686]	
423-13	36398-36406	dogodila	V	VERB	_	_	dogoditi	2	dogoditi se	IRV	CVMWE-0067[2284]	4[2284]	CVMWE-0067;ENG30-00339934-v;ENG30-02593912-v;ENG30-02594102-v[2284]	*[686]	simple_wsd - CVMWE-0067:0.9608::zbiti se, obično iznenada - ENG30-00339934-v:0.9210::Zbiti se. - ENG30-02593912-v:0.8153::slučajno šta biti ili uraditi, bez namere ili uzroka[2284]	
423-14	36407-36408	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
423-15	36409-36418	Gimnaziji	N	NOUN	http://www.wikidata.org/entity/Q1112675[136]	ORG[136]	gimnazija	_	_	_	ENG30-08409617-n	2	ENG30-08284481-n;ENG30-08409617-n	*	simple_wsd - ENG30-08409617-n:0.0751::javna srednja škola koja obično uključuje razrede od 9. do 12. - ENG30-08284481-n:-0.0061::učenička škola između osnovne škole i fakulteta - obično od 9. do 12. razreda	
423-16	36419-36428	Kolumbajn	N	PROPN	http://www.wikidata.org/entity/Q1112675[136]	ORG[136]	Kolumbajn	_	_	_	_	_	_	_	_	
423-17	36429-36430	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
423-18	36431-36441	Kolumbajnu	N	PROPN	http://www.wikidata.org/entity/Q1112702	LOC	Kolumbajn	_	_	_	_	_	_	_	_	
423-19	36441-36442	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
423-20	36443-36444	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
423-21	36445-36453	Koloradu	N	PROPN	http://www.wikidata.org/entity/Q1261	LOC	Kolorado	_	_	_	_	_	_	_	_	
423-22	36453-36454	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
423-23	36455-36458	SAD	ABB	X	http://www.wikidata.org/entity/Q30	LOC	SAD	_	_	_	_	_	_	_	_	
423-24	36458-36459	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Kao federalna republika, Austrija je podeljena na devet država.
424-1	36459-36462	Kao	CONJ	CCONJ	_	_	kao	_	_	_	_	_	_	_	_	
424-2	36463-36472	federalna	A	ADJ	_	_	federalni	1[345]	federalna republika[345]	NID[345]	CVMWE-0091[2285]	1[2285]	CVMWE-0091[2285]	*[688]	simple_wsd - CVMWE-0091:0.6019::federacija država sa republičkim oblikom vladavine[2285]	
424-3	36473-36482	republika	N	NOUN	_	_	republika	1[345]	federalna republika[345]	NID[345]	CVMWE-0091[2285]	1[2285]	CVMWE-0091[2285]	*[688]	simple_wsd - CVMWE-0091:0.6019::federacija država sa republičkim oblikom vladavine[2285]	
424-4	36482-36483	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
424-5	36484-36492	Austrija	N	PROPN	http://www.wikidata.org/entity/Q40	LOC	Austrija	_	_	_	_	_	_	_	_	
424-6	36493-36495	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
424-7	36496-36505	podeljena	V	VERB	_	_	podeliti	_	_	_	ENG30-01063930-v	7	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	*	simple_wsd - ENG30-01063930-v:0.9239::Preneti nekome svoj stav ili mišljenje - ENG30-02031158-v:0.8832::Učiniti da se nešto podeli ili odvoji. - ENG30-02201644-v:0.5967::deliti	
424-8	36506-36508	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
424-9	36509-36514	devet	NUM	NUM	_	_	devet	_	_	_	_	_	_	_	_	
424-10	36515-36521	država	N	NOUN	_	_	država	_	_	_	ENG30-08544813-n	3	ENG30-08168978-n;ENG30-08178547-n;ENG30-08544813-n	*	simple_wsd - ENG30-08544813-n:0.8939::Teritorija koju zauzima narod. - ENG30-08178547-n:0.7601::Grupa ljudi koji čine vlast suverene države. - ENG30-08168978-n:0.6646::Politička organizacija ljudi koji su pod jednom vladom.	
424-11	36521-36522	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ovi vrtovi kasnije će pripasti carevima.
425-1	36522-36525	Ovi	PRO	DET	_	_	ovaj	_	_	_	_	_	_	_	_	
425-2	36526-36532	vrtovi	N	NOUN	_	_	vrt	_	_	_	ENG30-03417345-n	1	ENG30-03417345-n	*	simple_wsd - ENG30-03417345-n:0.8516::komad zemlje gde se uzgajaju biljke	
425-3	36533-36540	kasnije	ADV	ADV	_	_	kasnije	_	_	_	ENG30-00155488-b	2	ENG30-00061203-b;ENG30-00155488-b	*	simple_wsd - ENG30-00155488-b:0.7917::u nekom budućem trenutku - ENG30-00061203-b:0.7197::događa se u vreme koje sledi nakon referentnog vremena	
425-4	36541-36543	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	
425-5	36544-36552	pripasti	V	VERB	_	_	pripasti	_	_	_	DRJ0-217836/0b.	2	DRJ0-217836/0a.;DRJ0-217836/0b.	*	simple_wsd - DRJ0-217836/0b.:0.8195::pasti u dužnost.; ne osećam se dobro, loše mi je, muka mi je. - DRJ0-217836/0a.:0.5122::pasti u deo (pri deobi), dopasti.	
425-6	36553-36561	carevima	N	NOUN	_	_	car	_	_	_	CV0268	4	CV0268;ENG30-02278839-n;ENG30-02301935-n;ENG30-10053004-n	*	simple_wsd - CV0268:0.5973::onaj ili ono što se ističe u nečemu iznos svih ili svega (snagom lepotom, hrabrošću itd.) - ENG30-02301935-n:0.5854::veliki moljac umerenih šuma Evroazije sa providnim krilima sa velikim krljuštima - ENG30-10053004-n:0.4612::muški valdar imperije, carevine	
425-7	36561-36562	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Prvi simptomi često se pogrešno pripisuju starenju ili stresu.
426-1	36562-36566	Prvi	A	ADJ	_	_	prvi	_	_	_	ENG30-00228294-a	7	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a;ENG30-02202047-a	*	simple_wsd - ENG30-00228294-a:0.6708::rangiran iznad svih ostalih - ENG30-01010862-a:0.2814::pre svih ostalih u vremenu, prostoru ili stepenu - ENG30-01012855-a:0.1725::koji prethodi svim ostalima u vremenu	
426-2	36567-36575	simptomi	N	NOUN	_	_	simptom	_	_	_	ENG30-14299637-n	2	ENG30-14299637-n;ENG30-14301785-n	*	simple_wsd - ENG30-14299637-n:0.9812::U medicini, bilo kakav osećaj ili promena u telesnim funkcijama koje pacijent doživljava a povezuju se s određenom bole… - ENG30-14301785-n:0.7597::u medicini  objektivan dokaz o prisustvu poremećaja ili bolesti.	
426-3	36576-36581	često	ADV	ADV	_	_	često	_	_	_	ENG30-00059413-b	2	CV0049;ENG30-00059413-b	*	simple_wsd - ENG30-00059413-b:0.7351::često ili u velikim količinama - CV0049:0.1433::mnogo puta, u mnogo prilika	
426-4	36582-36584	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	
426-5	36585-36593	pogrešno	ADV	ADV	_	_	pogrešno	_	_	_	ENG30-00195542-b	2	ENG30-00195542-b;ENG30-00251820-b	*	simple_wsd - ENG30-00195542-b:0.6634::na pogrešan način - ENG30-00251820-b:-0.0824::po zakonu; u skladu sa zakonom	
426-6	36594-36603	pripisuju	V	VERB	_	_	pripisivati	_	_	_	ENG30-00843468-v	2	ENG30-00740053-v;ENG30-00843468-v	*	simple_wsd - ENG30-00843468-v:0.6714::kriviti za, izneti tvrdnju o pogrešnom postupanju ili lošem ponašanju nekoga - ENG30-00740053-v:0.2019::uvideti poziciju nečega; odlučivati	
426-7	36604-36612	starenju	N	NOUN	_	_	starenje	_	_	_	ENG30-13429006-n	1	ENG30-13429006-n	*	simple_wsd - ENG30-13429006-n:-0.0319::organski proces starenja i pokazivanje efekata starenja	
426-8	36613-36616	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	_	
426-9	36617-36623	stresu	N	NOUN	_	_	stres	_	_	_	ENG30-14376188-n	2	ENG30-07085375-n;ENG30-14376188-n	*	simple_wsd - ENG30-14376188-n:0.9762::(psihologija) stanje mentalnog ili emocionalnog naprezanja ili neizvesnosti - ENG30-07085375-n:0.1392::relativna istaknutost sloga ili muzičke note (posebno u vezi sa naglaskom ili visinom tona)	
426-10	36623-36624	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=San letnje noći je komedija koju je napisao Vilijam Šekspir.
427-1	36624-36627	San	N	NOUN	http://www.wikidata.org/entity/Q104871[137]	WORK[137]	san	_	_	_	ENG30-14459715-n	4	ENG30-07484547-n;ENG30-14024882-n;ENG30-14459715-n;ENG30-15273626-n	*	simple_wsd - ENG30-14459715-n:0.9671::Neko ili nešto divno. - ENG30-15273626-n:0.8326::period vremena koji se provede spavajući - ENG30-07484547-n:0.2712::Žudno gajena želja.	
427-2	36628-36634	letnje	A	ADJ	http://www.wikidata.org/entity/Q104871[137]	WORK[137]	letnji	_	_	_	DRJ0-199347/0	1	DRJ0-199347/0	*	simple_wsd - DRJ0-199347/0:0.5143::koji se odnosi na leto, na vreme leta:	
427-3	36635-36639	noći	N	NOUN	http://www.wikidata.org/entity/Q104871[137]	WORK[137]	noć	_	_	_	ENG30-15155747-n	3	ENG30-15155747-n;ENG30-15167027-n;ENG30-15167474-n	*	simple_wsd - ENG30-15155747-n:0.8684::Tamni deo dnevnog ciklusa shvaćen kao vremenska jedinica. - ENG30-15167474-n:0.8622::Period koji se provede u spavanju. - ENG30-15167027-n:0.7127::Vreme posle zalaska sunca a pre njegovog izlaska, dok je napolju još mračno.	
427-4	36640-36642	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
427-5	36643-36651	komedija	N	NOUN	_	_	komedija	_	_	_	ENG30-07015510-n	1	ENG30-07015510-n	*	simple_wsd - ENG30-07015510-n:0.9176::laka i humoristična drama sa srećnim krajem	
427-6	36652-36656	koju	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
427-7	36657-36659	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
427-8	36660-36667	napisao	V	VERB	_	_	napisati	_	_	_	ENG30-01756719-v	3	CV0243;ENG30-01007027-v;ENG30-01756719-v	*	simple_wsd - ENG30-01756719-v:0.8295::napisati scenario za - CV0243:0.6443::izraditi, kreirati programski kod ili softver - ENG30-01007027-v:0.3590::komunicirati (sa kime) pismenim putem	
427-9	36668-36675	Vilijam	N	PROPN	http://www.wikidata.org/entity/Q692[138]	PERS[138]	Vilijam	_	_	_	_	_	_	_	_	
427-10	36676-36683	Šekspir	N	PROPN	http://www.wikidata.org/entity/Q692[138]	PERS[138]	Šekspir	_	_	_	_	_	_	_	_	
427-11	36683-36684	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Dokins je prvi put došao do izražaja sa svojom knjigom Sebični gen (The Selfish Gene), kojom je popularizovao gledište da je gen u centru evolucije i uveo termin „mem“.
428-1	36684-36690	Dokins	N	PROPN	http://www.wikidata.org/entity/Q44461	PERS	Dokins	_	_	_	_	_	_	_	_	
428-2	36691-36693	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
428-3	36694-36698	prvi	A	ADJ	_	_	prvi	_	_	_	ENG30-01012855-a	7	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a;ENG30-02202047-a	*	simple_wsd - ENG30-01012855-a:0.8346::koji prethodi svim ostalima u vremenu - ENG30-01009206-a:0.7857::služi za početak - ENG30-02202047-a:0.7765::označava početni element u nekom nizu; koji je u nabrajanju ispred drugih	
428-4	36699-36702	put	PAR	PART	_	_	put	_	_	_	_	_	_	_	_	
428-5	36703-36708	došao	V	VERB	_	_	doći	1	doći do izražaja	VID	CVMWE-0062[2286]	1[2286]	CVMWE-0062[2286]	*[689]	simple_wsd - CVMWE-0062:0.7795::postati zapažen; postati poznat[2286]	
428-6	36709-36711	do	PREP	ADP	_	_	do	1	*	VID	CVMWE-0062[2286]	1[2286]	CVMWE-0062[2286]	*[689]	simple_wsd - CVMWE-0062:0.7795::postati zapažen; postati poznat[2286]	
428-7	36712-36720	izražaja	N	NOUN	_	_	izražaj	1	*	VID	CVMWE-0062[2286]	1[2286]	CVMWE-0062[2286]	*[689]	simple_wsd - CVMWE-0062:0.7795::postati zapažen; postati poznat[2286]	
428-8	36721-36723	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	_	_	
428-9	36724-36730	svojom	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	_	
428-10	36731-36738	knjigom	N	NOUN	_	_	knjiga	_	_	_	ENG30-06413579-n	4	ENG30-02870092-n;ENG30-06394865-n;ENG30-06410904-n;ENG30-06413579-n	*	simple_wsd - ENG30-06413579-n:0.7954::obično velika i učena knjiga - ENG30-02870092-n:0.5803::Fizički objekat koji se sastoji od određenog broja povezanih stranica. - ENG30-06394865-n:0.4729::veliki deo dugačke pisane celine	
428-11	36739-36746	Sebični	A	ADJ	http://www.wikidata.org/entity/Q212789[139]	WORK[139]	sebičan	_	_	_	ENG30-02098325-a	1	ENG30-02098325-a	*	simple_wsd - ENG30-02098325-a:0.3289::onaj koji je obuzet isključivo sobom i svojom prednošću u odnosu na druge;	
428-12	36747-36750	gen	N	NOUN	http://www.wikidata.org/entity/Q212789[139]	WORK[139]	gen	_	_	_	ENG30-05436752-n	1	ENG30-05436752-n	*	simple_wsd - ENG30-05436752-n:0.7082::(genetika) segment DNK koji je uključen u proizvodnju polipeptidnog lanca; može uključivati regione koji prethode i sle…	
428-13	36751-36752	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	_	
428-14	36752-36755	The	F	X	http://www.wikidata.org/entity/Q212789[140]	WORK[140]	The	_	_	_	_	_	_	_	_	
428-15	36756-36763	Selfish	F	X	http://www.wikidata.org/entity/Q212789[140]	WORK[140]	Selfish	_	_	_	_	_	_	_	_	
428-16	36764-36768	Gene	F	X	http://www.wikidata.org/entity/Q212789[140]	WORK[140]	Gene	_	_	_	_	_	_	_	_	
428-17	36768-36769	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	_	
428-18	36769-36770	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
428-19	36771-36776	kojom	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
428-20	36777-36779	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
428-21	36780-36793	popularizovao	V	VERB	_	_	popularizovati	_	_	_	ENG30-00970215-v	1	ENG30-00970215-v	*	simple_wsd - ENG30-00970215-v:0.8930::uslužiti popularnom ukusu, učiniti popularnim i predstaviti široj javnosti; uvesti u opštu ili uobičajenu upotrebu	
428-22	36794-36802	gledište	N	NOUN	_	_	gledište	_	_	_	ENG30-06208751-n	1	ENG30-06208751-n	*	simple_wsd - ENG30-06208751-n:0.2087::način sagledavanja situacija ili tema itd.	
428-23	36803-36805	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
428-24	36806-36808	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
428-25	36809-36812	gen	N	NOUN	_	_	gen	_	_	_	ENG30-05436752-n	1	ENG30-05436752-n	*	simple_wsd - ENG30-05436752-n:0.6973::(genetika) segment DNK koji je uključen u proizvodnju polipeptidnog lanca; može uključivati regione koji prethode i sle…	
428-26	36813-36814	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
428-27	36815-36821	centru	N	NOUN	_	_	centar	_	_	_	ENG30-08521816-n	9	ENG30-00725383-n;ENG30-02993546-n;ENG30-05868272-n;ENG30-05921123-n;ENG30-06292154-n;ENG30-08416523-n;ENG30-08514034-n;ENG30-08521816-n;ENG30-08523483-n	*	simple_wsd - ENG30-08521816-n:0.9321::tačka jednako udaljena od krajeva linije ili završetaka lika - ENG30-05921123-n:0.7972::Najprobraniji ili najsadržajniji ili najvažniji deo neke ideje ili iskustva. - ENG30-02993546-n:0.7390::Zgrada posvećena posebnoj aktivnosti.	
428-28	36822-36831	evolucije	N	NOUN	_	_	evolucija	_	_	_	ENG30-13477023-n	2	ENG30-13464820-n;ENG30-13477023-n	*	simple_wsd - ENG30-13477023-n:0.5414::U biologiji niz događaja koji dovodi do evolutivnog razvoja vrste ili taksonomatske grupe organizama - ENG30-13464820-n:0.5290::Proces u kome nešto postepeno prelazi u drugo stanje, posebno u naprednije ili zrelije stanje.	
428-29	36832-36833	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
428-30	36834-36838	uveo	V	VERB	_	_	uvesti	_	_	_	ENG30-02078591-v	7	ENG30-00189511-v;ENG30-01001467-v;ENG30-01618693-v;ENG30-01662060-v;ENG30-02078591-v;ENG30-02232722-v;ENG30-02449847-v	*	simple_wsd - ENG30-02078591-v:0.8963::Dovesti novog čoveka ili predmet u poznato okruženje. - ENG30-01618693-v:0.7438::dovesti ili uspostaviti na novom mestu ili okruženju - ENG30-01001467-v:0.7297::staviti šta na početak, najčešće kao vid objašnjenja	
428-31	36839-36845	termin	N	NOUN	_	_	termin	_	_	_	ENG30-15270245-n	2	ENG30-06303888-n;ENG30-15270245-n	*	simple_wsd - ENG30-15270245-n:0.6308::vreme dodeljeno na rasporedu ili redu događanja - ENG30-06303888-n:0.5712::Reč ili izraz koji se koristi za neku određenu stvar.	
428-32	36846-36847	„	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
428-33	36847-36850	mem	N	NOUN	_	_	mem	_	_	_	CVDf-213/0	1	CVDf-213/0	*	simple_wsd - CVDf-213/0:0.8087::ideja, ponašanje ili stil koji se širi putem imitacije od osobe do osobe unutar kulture	
428-34	36850-36851	“	PUNCT	PUNCT	_	_	"	_	_	_	_	_	_	_	_	
428-35	36851-36852	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ljudi će reći da smo konzervativni ili čak reakcionarni.
429-1	36852-36857	Ljudi	N	NOUN	_	_	ljudi	_	_	_	ENG30-10289176-n	3	ENG30-07942152-n;ENG30-08208016-n;ENG30-10289176-n	*	simple_wsd - ENG30-10289176-n:0.7126::muški podređeni - ENG30-08208016-n:0.5915::Grupa ljudi koji su spremni da se povinuju naređenjima. - ENG30-07942152-n:0.3473::Bilo koja grupa ljudskih bića, muškaraca, žena ili dece, zajedno (množina).	
429-2	36858-36860	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	
429-3	36861-36865	reći	V	VERB	_	_	reći	_	_	_	ENG30-01009821-v	3	ENG30-01009240-v;ENG30-01009821-v;ENG30-01016002-v	*	simple_wsd - ENG30-01009821-v:0.2231::izneti kao svoje mišljenje ili sud; izjaviti - ENG30-01016002-v:0.1497::izvestiti ili održavati - ENG30-01009240-v:0.0024::Izraziti rečima.	
429-4	36866-36868	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
429-5	36869-36872	smo	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
429-6	36873-36886	konzervativni	A	ADJ	_	_	konzervativan	_	_	_	ENG30-02132224-a	3	ENG30-00574422-a;ENG30-01590484-a;ENG30-02132224-a	*	simple_wsd - ENG30-02132224-a:0.9633::koji ukazuje na seksualnu neprikladnost - ENG30-00574422-a:0.8278::Koji nije sklon promenama. - ENG30-01590484-a:0.1460::koji pripada ili je karakteristika plemstva ili aristokratije	
429-7	36887-36890	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	_	
429-8	36891-36894	čak	PAR	PART	_	_	čak	_	_	_	_	_	_	_	_	
429-9	36895-36907	reakcionarni	A	ADJ	_	_	reakcionaran	_	_	_	DRJ0-222444/0	1	DRJ0-222444/0	*	simple_wsd - DRJ0-222444/0:0.7648::koji je zastarelih shvatanja, u duhu reakcije, nazadnjak.	
429-10	36907-36908	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Nakon najmanje četiri nedelje, mladi izdanci bi trebalo da budu spremni za presađivanje na otvorenom.
430-1	36908-36913	Nakon	PREP	ADP	_	_	nakon	_	_	_	_	_	_	_	_	
430-2	36914-36922	najmanje	ADV	ADV	_	_	najmanje	_	_	_	CV0148	2	CV0148;RSSJ-27958/0	*	simple_wsd - CV0148:0.4239::ne manje od, barem - RSSJ-27958/0:0.2534::u najmanjoj meri, u najmanjem stepenu; u neznatnoj količini.	
430-3	36923-36929	četiri	NUM	NUM	_	_	četiri	_	_	_	_	_	_	_	_	
430-4	36930-36937	nedelje	N	NOUN	_	_	nedelja	_	_	_	ENG30-15136147-n	3	ENG30-15135996-n;ENG30-15136147-n;ENG30-15169873-n	*	simple_wsd - ENG30-15136147-n:0.5680::period od sedam uzastopnih dana koji počinje u nedelju - ENG30-15135996-n:0.3977::radni sati ili dani tokom kalendarske nedelje - ENG30-15169873-n:0.3439::bilo koji period od sedam uzastopnih dana	
430-5	36937-36938	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
430-6	36939-36944	mladi	A	ADJ	_	_	mlad	_	_	_	ENG30-01674464-a	2	ENG30-00818008-a;ENG30-01674464-a	*	simple_wsd - ENG30-01674464-a:0.8751::koristi se za ljude i živa bića, koji su u ranom stadijumu života ili razvoja i rasta - ENG30-00818008-a:0.5999::(useva) ubranih u ranoj fazi razvoja; pre potpune zrelosti	
